"","timestamp","longitude","latitude","step_id","pop_den_coarse","fpar_500m_4d","land_cover_.05","land_cover_500m","fpar_500m_8d","ndvi_500m_16d_aqua","pop_den_fine","elevation","ndvi_.05_16d_terra","ndvi_500m_16d_terra","ndvi_.05_16d_aqua","precip","snow","temp","wind_support","crosswind","case","ID"
"1538","2015-10-05 20:00:22.000",60.2820609443495,58.6635611063436,142,3.91765004348477,0.0286889841931819,5,5,0.0661333271899723,0.402821789850185,9.69118326447336,162.412113141693,0.533771465669423,0.408853304720288,0.492782619084809,0.000967780194766307,0.00594420134885098,280.716915855484,2.03917997938861,3.70432086142707,"0","B05_Aut15"
"1539","2015-10-05 20:00:22.000",60.2731285977707,58.6669036904236,142,3.33533863444127,0.0152057587049506,5,5,0.089309918563804,0.409148876974668,9.86775233898933,167.109137447767,0.529128356798373,0.285329519361647,0.481255274555951,0.000983400108629998,0.00605298396779061,280.821116910608,3.38984576589961,2.14521215974886,"0","B05_Aut15"
"1540","2015-10-05 20:00:22.000",60.2813884840626,58.6632446910183,142,3.84081913882354,0.0289424127644148,5,5,0.0638908603485432,0.400363078306946,9.82448576265007,159.405895704021,0.5339709527278,0.398167726627814,0.49261420636916,0.000967387763142188,0.00596349333200701,280.70916021467,3.67396954867988,-1.61088090257935,"0","B05_Aut15"
"1541","2015-10-05 21:00:07.000",60.2814185999999,58.6632548,143,3.84408437633629,0.0291389602129832,5,5,0.0647486095765239,0.399858802698331,9.81929031571092,159.479440000304,0.533806811820079,0.398050107545252,0.492370343754457,0.000978566923506408,0.00584862863860297,280.686681900077,3.63140773462855,0.993806120305154,"1","B05_Aut15"
"1542","2015-10-05 21:00:07.000",60.2813083360855,58.6690333721067,143,4.23750503296155,0.0199008189891389,5,5,0.102730375889812,0.445996739045635,8.68194132434332,182.699573518638,0.530703148724959,0.507829688170551,0.498634879715992,0.000995095818543218,0.00572669040734927,280.703947776103,2.08411835747408,3.13547817914837,"0","B05_Aut15"
"1543","2015-10-05 21:00:07.000",60.2602605944057,58.6785387811868,143,4.01588817340081,0.0130672037954881,5,5,0.0987634540305629,0.481225729097177,8.75331950031855,175.234944438619,0.518851126573523,0.403357907079202,0.486116683684899,0.00103940888865743,0.00577334378916367,280.686983584472,3.18005381339159,2.01544796107706,"0","B05_Aut15"
"1544","2015-10-05 21:00:07.000",60.3626736621188,58.4480457891923,143,11.7567701339722,0.205126749620922,5,5,0.27386776672045,0.413533484159362,23.4920501708984,188.043909897762,0.513778406304833,0.275902456078205,0.414640907017832,0.000561053209530754,0.00821518319820901,280.671985166318,2.97279859046793,-1.92681442781087,"0","B05_Aut15"
"1545","2015-10-05 21:00:07.000",60.2818643496924,58.6633632403057,143,3.88899876378031,0.0291419607714955,5,5,0.0660491073130521,0.400989134469628,9.75074861032451,159.857710884225,0.533730688888217,0.401963812334691,0.492390340927881,0.000978538910354885,0.0058403660577969,280.68714927751,1.52952287798017,3.44025180845986,"0","B05_Aut15"
"1546","2015-10-05 21:00:07.000",60.2805358480632,58.6630957851449,143,3.75629516278327,0.0291561212134571,5,5,0.0627801415699704,0.398054965116844,9.94478643772786,157.484876530864,0.533928501456382,0.391782502315486,0.492370893967535,0.000978779990878402,0.00586382494235828,280.559454397185,0.75142644917394,-3.68919110800158,"0","B05_Aut15"
"1547","2015-10-05 21:00:07.000",60.2079618620703,58.7300353832953,143,4.36298182333466,0.0360056121415385,5,5,0.132771883108672,0.468872816740301,6.20725972404976,169.889780787162,0.389703114269493,0.4314441744633,0.437804018822559,0.00124616577683421,0.00519499386073342,280.687005738914,1.44397392314087,3.4770263227599,"0","B05_Aut15"
"1548","2015-10-05 21:00:07.000",60.2815122894638,58.6631540311057,143,3.84528517826042,0.0294207662294623,5,5,0.0647832699239523,0.399389027280045,9.82933778585962,157.328317832867,0.533860362334544,0.394065719673167,0.492260715102827,0.000978209525144753,0.00584952758201414,280.687206531757,2.02015626144607,-3.17706490635875,"0","B05_Aut15"
"1549","2015-10-05 21:00:07.000",60.408677449906,58.4035900850585,143,11.7567701339722,0.0790828098096222,5,5,0.167927224947066,0.478659228886173,23.4920501708984,178.866258200708,0.487297218192646,0.261397596036236,0.443752313909196,0.000498403873492045,0.00863116066547338,280.522569286198,1.53913506150188,3.4359621654395,"0","B05_Aut15"
